1, private, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
2, private, terralith:alpha_islands, MONSTER, minecraft:zombie, 80, 4, 4
3, private, terralith:alpha_islands, MONSTER, minecraft:skeleton, 80, 4, 4
4, private, terralith:alpha_islands, MONSTER, minecraft:creeper, 80, 4, 4
5, private, terralith:alpha_islands, MONSTER, minecraft:slime, 80, 4, 4
6, private, terralith:alpha_islands, MONSTER, graveyard:ghoul, 25, 2, 5
7, private, terralith:alpha_islands, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
8, private, terralith:alpha_islands, CREATURE, minecraft:sheep, 12, 4, 4
9, private, terralith:alpha_islands, CREATURE, minecraft:pig, 10, 4, 4
10, private, terralith:alpha_islands, CREATURE, minecraft:chicken, 10, 4, 4
11, private, terralith:alpha_islands, CREATURE, minecraft:cow, 8, 4, 4
12, private, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
13, private, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:axolotl, 10, 4, 6
14, private, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
15, private, terralith:alpha_islands_winter, MONSTER, minecraft:spider, 80, 4, 4
16, private, terralith:alpha_islands_winter, MONSTER, minecraft:zombie, 80, 4, 4
17, private, terralith:alpha_islands_winter, MONSTER, minecraft:skeleton, 80, 4, 4
18, private, terralith:alpha_islands_winter, MONSTER, minecraft:slime, 80, 4, 4
19, private, terralith:alpha_islands_winter, MONSTER, graveyard:nightmare, 10, 1, 1
20, private, terralith:alpha_islands_winter, MONSTER, graveyard:revenant, 25, 5, 8
21, private, terralith:alpha_islands_winter, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
22, private, terralith:alpha_islands_winter, CREATURE, minecraft:sheep, 12, 4, 4
23, private, terralith:alpha_islands_winter, CREATURE, minecraft:pig, 10, 4, 4
24, private, terralith:alpha_islands_winter, CREATURE, minecraft:chicken, 10, 4, 4
