1, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
2, minecraft:village_meadow, HEADING, header:ignore, 0, 0, 0
3, terralith:zpointer/terralith_snowy_badlands, HEADING, header:ignore, 0, 0, 0
4, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
5, formationsnether:obsidian_pillar, HEADING, header:ignore, 0, 0, 0
6, imst:balloon, HEADING, header:ignore, 0, 0, 0
7, mvs:well/well, HEADING, header:ignore, 0, 0, 0
8, joshie:libraries/cold, HEADING, header:ignore, 0, 0, 0
9, additionalstructures:bush_1, HEADING, header:ignore, 0, 0, 0
10, 1_splatus:blaze_king_tower, HEADING, header:ignore, 0, 0, 0
11, terralith:zpointer/terralith_rocky_jungle, HEADING, header:ignore, 0, 0, 0
12, mes:astral_meteorite, HEADING, header:ignore, 0, 0, 0
13, evenbetterarcheology:archeologist_camp_sand, HEADING, header:ignore, 0, 0, 0
14, repurposed_structures:temple_ocean, HEADING, header:ignore, 0, 0, 0
15, subterrestrial:deepslate_cabin, HEADING, header:ignore, 0, 0, 0
16, gigeresque:sculk_gig_dungeon, HEADING, header:ignore, 0, 0, 0
17, mvs:houses/large_warped_tower, HEADING, header:ignore, 0, 0, 0
18, formationsoverworld:farmland_field, HEADING, header:ignore, 0, 0, 0
19, repurposed_structures:village_giant_taiga, HEADING, header:ignore, 0, 0, 0
20, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
21, ctov:medium/village_taiga, HEADING, header:ignore, 0, 0, 0
22, imst:viking_house, HEADING, header:ignore, 0, 0, 0
23, imst:viking_house, MONSTER, minecraft:pillager, 5, 1, 1
24, terralith:zpointer/terralith_windswept_spires, HEADING, header:ignore, 0, 0, 0
25, terralith:zpointer/terralith_granite_cliffs, HEADING, header:ignore, 0, 0, 0
26, graveyard:mushroom_grave, HEADING, header:ignore, 0, 0, 0
27, subterrestrial:default_cabin, HEADING, header:ignore, 0, 0, 0
28, structory_towers:farmer_outpost, HEADING, header:ignore, 0, 0, 0
29, ctov:medium/village_dark_forest, HEADING, header:ignore, 0, 0, 0
30, repurposed_structures:pyramid_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
31, additionalstructures:cobblestone_rock_2, HEADING, header:ignore, 0, 0, 0
32, towns_and_towers:exclusives/pillager_outpost_oriental, HEADING, header:ignore, 0, 0, 0
33, towns_and_towers:exclusives/pillager_outpost_oriental, MONSTER, minecraft:pillager, 5, 1, 2
34, terralith:zpointer/terralith_alpine_grove, HEADING, header:ignore, 0, 0, 0
35, terralith:zpointer/minecraft_flower_forest, HEADING, header:ignore, 0, 0, 0
36, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
37, towns_and_towers:village_snowy_taiga, HEADING, header:ignore, 0, 0, 0
38, mvs:houses/tall_house, HEADING, header:ignore, 0, 0, 0
39, towns_and_towers:pillager_outpost_old_growth_taiga, HEADING, header:ignore, 0, 0, 0
40, towns_and_towers:pillager_outpost_old_growth_taiga, MONSTER, minecraft:pillager, 5, 1, 2
